TraceID,SpanID,ParentID,PodName,OperationName,StartTimeUnixNano,EndTimeUnixNano,Duration
0a9da27168ecb0c4002525e97ee5d7a9,20cf34df6fd3d194,root,frontend-579b9bff58-t2dbm,hipstershop.Frontend/Recv.,1661258836776343283,1661258837003091371,226748
0a9da27168ecb0c4002525e97ee5d7a9,8958a0418d73ff27,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/GetSupportedCurrencies,1661258836776494143,1661258836795817296,19323
0a9da27168ecb0c4002525e97ee5d7a9,a2e29b02325f8fe3,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.CartService/GetCart,1661258836795829450,1661258836809542704,13713
0a9da27168ecb0c4002525e97ee5d7a9,fdf40b3ff1723c8a,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.RecommendationService/ListRecommendations,1661258836809576385,1661258836818584520,9008
0a9da27168ecb0c4002525e97ee5d7a9,55ef1e7671e7fa46,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836818600798,1661258836824093962,5493
0a9da27168ecb0c4002525e97ee5d7a9,3b34b434ba737816,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836824103241,1661258836829878925,5775
0a9da27168ecb0c4002525e97ee5d7a9,e64dc1a2a9f966d0,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836829889725,1661258836834643825,4754
0a9da27168ecb0c4002525e97ee5d7a9,dba45481119c350a,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836834652877,1661258836838776040,4123
0a9da27168ecb0c4002525e97ee5d7a9,867f32256e1e9164,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836838795235,1661258836843934540,5139
0a9da27168ecb0c4002525e97ee5d7a9,c97552e15c952b3f,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ShippingService/GetQuote,1661258836843958072,1661258836848665309,4707
0a9da27168ecb0c4002525e97ee5d7a9,216915c532daf613,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/Convert,1661258836848682810,1661258836899789035,51106
0a9da27168ecb0c4002525e97ee5d7a9,ee95f8355ab9898a,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836899823561,1661258836906496175,6672
0a9da27168ecb0c4002525e97ee5d7a9,231e952e14981f87,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/Convert,1661258836906515554,1661258836986160692,79645
0a9da27168ecb0c4002525e97ee5d7a9,50060c51958b130b,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836986209503,1661258836992147291,5937
0a9da27168ecb0c4002525e97ee5d7a9,80332f001383fe91,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/Convert,1661258836992182473,1661258836995256381,3073
0a9da27168ecb0c4002525e97ee5d7a9,c85a8c1296fc6710,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.ProductCatalogService/GetProduct,1661258836995275588,1661258836999248348,3972
0a9da27168ecb0c4002525e97ee5d7a9,4efcb1c38b209d42,20cf34df6fd3d194,frontend-579b9bff58-t2dbm,hipstershop.CurrencyService/Convert,1661258836999270253,1661258837002603887,3333
0a9da27168ecb0c4002525e97ee5d7a9,8f3c335557583d32,8958a0418d73ff27,currencyservice-cf787dd48-vpjrd,grpc.hipstershop.CurrencyService/GetSupportedCurrencies,1661258836792590080,1661258836792870144,280
0a9da27168ecb0c4002525e97ee5d7a9,fae2bc45c6b0dad6,8f3c335557583d32,currencyservice-cf787dd48-vpjrd,hipstershop.CurrencyService/GetCurrencyData,1661258836792759808,1661258836793451008,691
0a9da27168ecb0c4002525e97ee5d7a9,7d3eff26af43874a,a2e29b02325f8fe3,cartservice-579f59597d-wc2lz,hipstershop.CartService/GetCart,1661258836806714300,1661258836808373000,1658
