Time,TimeStamp,ServiceName,SuccessRate(%),LatencyP50(s),LatencyP90(s),LatencyP95(s),LatencyP99(s)
2023-01-30 11:39:52.948766709 +0000 UTC m=+0.125597034,1675078792,Frontend,0,0.12142857142857141,0.41666666666666663,0.5,0.8999999999999994
2023-01-30 11:40:52.952426426 +0000 UTC m=+60.129256737,1675078852,Frontend,0,0.09166666666666667,0.3916666666666666,0.44583333333333336,0.48916666666666664
2023-01-30 11:41:52.951969406 +0000 UTC m=+120.128799733,1675078912,Frontend,0,0.12812499999999996,0.41875,0.490625,0.8849999999999993
2023-01-30 11:42:52.939932136 +0000 UTC m=+180.116762437,1675078972,Frontend,0,0.175,0.41666666666666663,0.45833333333333337,0.49166666666666664
2023-01-30 11:43:52.93442507 +0000 UTC m=+240.111255386,1675079032,Frontend,0,0.1,0.43000000000000005,0.46499999999999997,0.493
2023-01-30 11:44:52.926904932 +0000 UTC m=+300.103735247,1675079092,Frontend,0,0.115,0.485,1.6375,2.3274999999999992
2023-01-30 11:45:52.946091157 +0000 UTC m=+360.122921487,1675079152,Frontend,0,0.075,0.5,3.75,4.749999999999998
2023-01-30 11:46:52.950364504 +0000 UTC m=+420.127194824,1675079212,Frontend,0,0.11875,1.375,1.9374999999999993,2.3875
2023-01-30 11:47:52.952358461 +0000 UTC m=+480.129188759,1675079272,Frontend,0,0.19166666666666662,0.455,0.5249999999999989,0.9050000000000005
2023-01-30 11:48:52.964980147 +0000 UTC m=+540.141810470,1675079332,Frontend,0,0.2,0.6999999999999996,0.9749999999999994,4.450000000000002
2023-01-30 11:49:52.973060506 +0000 UTC m=+600.149890817,1675079392,Frontend,0,0.11875000000000001,0.4083333333333337,0.7250000000000002,2.035000000000003
2023-01-30 11:50:52.956424904 +0000 UTC m=+660.133255347,1675079452,Frontend,0,0.19999999999999998,0.5500000000000004,0.7749999999999998,0.955
2023-01-30 11:51:52.944803509 +0000 UTC m=+720.121633845,1675079512,Frontend,0,0.11875,0.45625,0.5750000000000001,0.9149999999999994
2023-01-30 11:52:52.932795278 +0000 UTC m=+780.109625592,1675079572,Frontend,0,0.18749999999999997,2.0499999999999994,2.6249999999999947,4.525000000000002
2023-01-30 11:53:52.934527493 +0000 UTC m=+840.111357807,1675079632,Frontend,0,0.625,2.2600000000000007,2.749999999999998,4.55
2023-01-30 11:54:52.950118219 +0000 UTC m=+900.126948532,1675079692,Frontend,0,0.18750000000000003,1.8500000000000014,2.4250000000000016,4.424999999999998
2023-01-30 11:55:52.948324896 +0000 UTC m=+960.125155234,1675079752,Frontend,0,0.175,0.75,1.3749999999999987,2.275
2023-01-30 11:56:52.929210947 +0000 UTC m=+1020.106041263,1675079812,Frontend,0,0.125,0.4249999999999999,0.599999999999999,0.9200000000000005
2023-01-30 11:57:52.946249405 +0000 UTC m=+1080.123079715,1675079872,Frontend,0,0.13750000000000004,0.47916666666666663,0.8749999999999988,2.1250000000000013
2023-01-30 11:58:52.961451151 +0000 UTC m=+1140.138281445,1675079932,Frontend,0,0.15,0.6799999999999999,0.8399999999999995,0.9680000000000002
2023-01-30 11:59:52.956408361 +0000 UTC m=+1200.133238661,1675079992,Frontend,0,0.25,0.9571428571428571,1.5249999999999997,2.3049999999999993
2023-01-30 12:00:52.960521786 +0000 UTC m=+1260.137352086,1675080052,Frontend,0,0.2708333333333333,1.4875,1.9937499999999995,2.39875
2023-01-30 12:01:52.957315261 +0000 UTC m=+1320.134145569,1675080112,Frontend,0,0.09166666666666667,1.6500000000000001,2.3249999999999993,4.324999999999999
2023-01-30 12:02:52.9571691 +0000 UTC m=+1380.133999427,1675080172,Frontend,0,0.19,0.9333333333333335,1.449999999999998,2.290000000000001
