time,timestamp,frontend_adservice,frontend_currencyservice,checkoutservice_productcatalogservice,frontend_productcatalogservice,recommendationservice_productcatalogservice,checkoutservice_emailservice,checkoutservice_paymentservice,frontend_shippingservice,checkoutservice_shippingservice,checkoutservice_currencyservice,checkoutservice_cartservice,frontend_recommendationservice,frontend_checkoutservice,frontend_cartservice
2022-08-23 11:59:28.681471612 +0000 UTC m=+0.663907888,1661255968,0.008425926,0.036413043,0.003,0.003311355,0.003823529,0.003,0.003,0.003,0.003,0.0045,0.0075,0.007962963,0.5,0.003415842
2022-08-23 12:00:28.460558923 +0000 UTC m=+60.442995199,1661256028,0.008177966,0.057581967,0.003333333,0.00329222,0.003373333,0.004,0.003,0.003142857,0.003,0.025,0.00625,0.007848101,0.291666667,0.003574468
2022-08-23 12:01:28.581298403 +0000 UTC m=+120.563734699,1661256088,0.008046875,0.023636364,0.00375,0.003220615,0.003441558,0.003,0.003,0.003,0.003,0.0375,0.004333333,0.007735294,0.2125,0.003696629
2022-08-23 12:02:28.845431678 +0000 UTC m=+180.827867954,1661256148,0.015089286,0.009034653,0.003,0.007031746,0.004939394,0.003,0.003,0.004333333,0.003,0.003,0.003666667,0.009642857,0.175,0.004627907
2022-08-23 12:03:28.658403479 +0000 UTC m=+240.640839754,1661256208,0.016428571,0.015740741,0.0075,0.007408027,0.00475,0.003,0.005,0.004090909,0.003,0.003,0.006666667,0.009916667,0.075,0.005609756
2022-08-23 12:04:28.468837854 +0000 UTC m=+300.451274129,1661256268,0.018333333,0.013928571,0.0065,0.007562112,0.006216216,0.004,0.003,0.0044,0.005,0.0035,0.007,0.01375,0.1,0.00733871
2022-08-23 12:05:28.561124024 +0000 UTC m=+360.543560299,1661256328,0.017058824,0.019115385,0.003,0.007695896,0.006203704,0.003,0.003,0.004272727,0.003,0.003,0.005,0.013046875,0.2125,0.0069375
2022-08-23 12:06:28.556615726 +0000 UTC m=+420.539052002,1661256388,0.018076923,0.029605263,0.0034,0.008600917,0.009166667,0.005,0.005,0.005625,0.003,0.0042,0.005,0.019107143,,0.006125
2022-08-23 12:07:28.434864249 +0000 UTC m=+480.417300524,1661256448,0.014583333,0.00875,0.00625,0.003798246,0.0034,0.003,0.003666667,0.003695652,0.003285714,0.0375,0.006,0.007844828,0.333333333,0.005291667
2022-08-23 12:08:28.549648868 +0000 UTC m=+540.532085143,1661256508,0.011209677,0.009957627,0.00625,0.004040609,0.003378378,0.003,0.003,0.004222222,0.003666667,0.0625,0.0075,0.008051948,0.2125,0.0051
2022-08-23 12:09:28.601639397 +0000 UTC m=+600.584075672,1661256568,0.015208333,0.007396694,0.00625,0.004126316,0.003415584,0.003666667,0.005,0.004625,0.003285714,0.003333333,0.0042,0.007943038,0.205,0.004606557
2022-08-23 12:10:28.629186669 +0000 UTC m=+660.611622943,1661256628,0.015080645,0.00925,0.004333333,0.004191375,0.003246914,0.003,0.004333333,0.003888889,0.003857143,0.053125,0.005416667,0.007884615,0.2125,0.005689655
2022-08-23 12:11:28.563893168 +0000 UTC m=+720.546329443,1661256688,0.0125,0.006861111,0.003666667,0.00387234,0.003058824,0.003,0.004,0.003818182,0.003181818,0.003727273,0.004666667,0.00765625,0.175,0.005986842
2022-08-23 12:12:28.733292517 +0000 UTC m=+780.715728791,1661256748,0.0125,0.00617284,0.005,0.0036,0.003285714,0.003,0.005,0.003454545,0.005,0.05,0.003666667,0.007980769,0.25,0.0042
2022-08-23 12:13:28.607992166 +0000 UTC m=+840.590428441,1661256808,0.014090909,0.006836283,0.005,0.003850467,0.00330303,0.005,0.003666667,0.003571429,0.003285714,0.003666667,0.007142857,0.008,0.095,0.005234375
2022-08-23 12:14:28.603297844 +0000 UTC m=+900.585734130,1661256868,0.012844828,0.019807692,0.005227273,0.003978622,0.003764706,0.003,0.006,0.004333333,0.003666667,0.00875,0.007142857,0.008321429,0.225,0.006215278
2022-08-23 12:15:28.806143023 +0000 UTC m=+960.788579317,1661256928,0.014791667,0.00710177,0.004,0.004024038,0.003384615,0.003,0.003,0.003666667,0.003,0.003615385,0.003222222,0.007694444,0.2,0.004285714
2022-08-23 12:16:28.531650871 +0000 UTC m=+1020.514087183,1661256988,0.013846154,0.007575188,0.00625,0.004004444,0.00360241,0.003,0.0035,0.003909091,0.003,0.0075,0.004142857,0.008271605,0.175,0.004298701
2022-08-23 12:17:28.855494146 +0000 UTC m=+1080.837930422,1661257048,0.014943182,0.008948598,0.003,0.003937198,0.003289157,0.003,0.003,0.004333333,0.003666667,0.075,0.003666667,0.007831325,0.205,0.005887097
2022-08-23 12:18:28.754403011 +0000 UTC m=+1140.736839294,1661257108,0.017094595,0.009068966,0.006666667,0.004243373,0.003467532,0.003,0.003,0.003869565,0.0034,0.055,0.008,0.008214286,0.1,0.00626506
2022-08-23 12:19:28.541828353 +0000 UTC m=+1200.524264629,1661257168,0.01625,0.007884615,0.003,0.005479323,0.003428571,0.003,0.004,0.00425,0.0034,0.0035,0.0034,0.008157895,0.091666667,0.004509434
2022-08-23 12:20:28.798596811 +0000 UTC m=+1260.781033087,1661257228,0.013888889,0.008455882,0.0045,0.006420118,0.004428571,0.0034,0.004,0.006666667,0.003666667,0.004375,0.004,0.008962264,0.25,0.004428571
2022-08-23 12:21:28.513794293 +0000 UTC m=+1320.496230579,1661257288,0.016206897,0.009512195,0.003285714,0.005549569,0.003545455,0.003,0.003,0.004090909,0.0035,0.0175,0.006428571,0.008080357,0.1375,0.006320755
2022-08-23 12:22:28.556639863 +0000 UTC m=+1380.539076142,1661257348,0.016875,0.007545732,0.0055,0.004071066,0.003258824,0.0034,0.003,0.004294118,0.003666667,0.01375,0.005714286,0.007794118,0.2,0.004777778
2022-08-23 12:23:28.740939033 +0000 UTC m=+1440.723375309,1661257408,0.015178571,0.056054688,0.008125,0.003876404,0.00342623,0.003,0.0075,0.0035,0.005,0.005,0.003,0.00807377,0.3125,0.004793103
2022-08-23 12:24:28.657667386 +0000 UTC m=+1500.640103662,1661257468,0.011764706,0.008538462,0.003727273,0.003690229,0.003541176,0.0035,0.005,0.00348,0.003352941,0.004333333,0.004076923,0.008125,0.2125,0.005040984
2022-08-23 12:25:28.538306026 +0000 UTC m=+1560.520742300,1661257528,0.015930233,0.008461538,0.004,0.004184987,0.003630137,0.005833333,0.004333333,0.004714286,0.0035,0.05,0.005,0.008026316,0.25,0.005674603
2022-08-23 12:26:28.494606299 +0000 UTC m=+1620.477042575,1661257588,0.013984375,0.006982759,0.00625,0.003932084,0.003289157,0.003,0.003666667,0.003782609,0.003666667,0.0075,0.0042,0.007886905,0.11875,0.004441176
2022-08-23 12:27:28.935430766 +0000 UTC m=+1680.917867064,1661257648,0.015454545,0.006842105,0.00625,0.00444591,0.003675676,0.003,0.003,0.004263158,0.004,0.0034,0.005,0.008311688,0.1375,0.00404878
2022-08-23 12:28:28.955377932 +0000 UTC m=+1740.937814207,1661257708,0.016802326,0.017258065,0.0036,0.004328125,0.003453333,0.003,0.0035,0.003952381,0.003444444,0.004166667,0.004333333,0.00834507,0.25,0.005
2022-08-23 12:29:28.748807604 +0000 UTC m=+1800.731243880,1661257768,0.015,0.012608696,0.00425,0.004175439,0.003877193,0.003,0.005833333,0.003363636,0.005,0.0075,0.006875,0.008416667,0.175,0.005090909
2022-08-23 12:30:28.635986931 +0000 UTC m=+1860.618423205,1661257828,0.013,0.008723958,0.004,0.004439739,0.003557377,0.003,0.00625,0.004,0.0034,0.004,0.005,0.008347458,0.25,0.005635593
2022-08-23 12:31:28.812694659 +0000 UTC m=+1920.795130935,1661257888,0.013445946,0.008415493,0.006875,0.003767386,0.003342857,0.003,0.003,0.003416667,0.003285714,0.004714286,0.0042,0.007716049,0.175,0.00396
2022-08-23 12:32:28.603027972 +0000 UTC m=+1980.585464248,1661257948,0.015067568,0.008451327,0.0075,0.004204188,0.003513514,0.005,0.0075,0.00375,0.003666667,0.0035,0.005,0.008209459,0.175,0.004342857
2022-08-23 12:33:28.583070365 +0000 UTC m=+2040.565506640,1661258008,0.014821429,0.010288462,0.0042,0.004213483,0.003686567,0.003,0.005,0.005384615,0.003285714,0.005,0.006666667,0.008142857,0.375,0.006139706
2022-08-23 12:34:28.685635584 +0000 UTC m=+2100.668071867,1661258068,0.017134146,0.008191964,0.004384615,0.004105556,0.003521739,0.003,0.004333333,0.003272727,0.003857143,0.04375,0.005,0.008161765,0.375,0.006178571
2022-08-23 12:35:28.657836916 +0000 UTC m=+2160.640273191,1661258128,0.012109375,0.007846535,0.0038,0.003994949,0.003716418,0.004333333,0.004333333,0.003444444,0.005,0.003714286,0.006428571,0.008026316,0.2,0.004070423
2022-08-23 12:36:28.652201101 +0000 UTC m=+2220.634637385,1661258188,0.013409091,0.007244094,0.005,0.004044693,0.0036875,0.003,0.003,0.003695652,0.003,0.0375,0.175,0.008,0.75,0.175
2022-08-23 12:37:28.639706783 +0000 UTC m=+2280.622143089,1661258248,0.011875,0.008772727,0.0075,0.004253482,0.003361111,0.0075,0.0075,0.004052632,0.003666667,0.0075,0.175,0.007820513,0.8,0.175
2022-08-23 12:38:28.579667642 +0000 UTC m=+2340.562103916,1661258308,0.016887755,0.007128906,0.006136364,0.003931129,0.003545455,0.003571429,0.003857143,0.00375,0.004076923,0.0075,0.175,0.007916667,0.75,0.175
2022-08-23 12:39:28.859439683 +0000 UTC m=+2400.841875958,1661258368,0.015,0.007738095,0.005833333,0.004577381,0.003657895,0.0035,0.0035,0.0035,0.0035,0.01375,0.175,0.008380282,0.25,0.0065625
2022-08-23 12:40:28.738542027 +0000 UTC m=+2460.720978306,1661258428,0.011102941,0.006569767,0.006875,0.003847534,0.003567568,0.003,0.003,0.00348,0.003,0.0038,0.008333333,0.008132911,0.19375,0.003771084
2022-08-23 12:41:28.759939798 +0000 UTC m=+2520.742376073,1661258488,0.013355263,0.00880531,0.004333333,0.004052356,0.003383562,0.003,0.003,0.003666667,0.004333333,0.004636364,0.004333333,0.007927632,0.2125,0.004462687
