time,timestamp,checkoutservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_emailservice,frontend_currencyservice,frontend_recommendationservice,recommendationservice_productcatalogservice,checkoutservice_cartservice,frontend_checkoutservice,frontend_shippingservice,frontend_adservice,frontend_productcatalogservice,checkoutservice_shippingservice,frontend_cartservice,checkoutservice_paymentservice
2022-08-23 11:59:28.64674856 +0000 UTC m=+0.629184836,1661255968,0.003,0.085,0.003,0.0217,0.007790698,0.0032,0.003,0.375,0.003,0.008254717,0.003177778,0.003,0.003,0.003
2022-08-23 12:00:28.444074961 +0000 UTC m=+60.426511237,1661256028,0.00325,0.004333333,0.004,0.050185185,0.007713415,0.003168675,0.003,0.3125,0.003071429,0.008103448,0.00316,0.003,0.00311215,0.003
2022-08-23 12:01:28.561081721 +0000 UTC m=+120.543517997,1661256088,0.00325,0.005,0.003,0.022083333,0.007611111,0.003066667,0.003,0.19375,0.003,0.007840909,0.003089347,0.003,0.003036036,0.003
2022-08-23 12:02:28.826446479 +0000 UTC m=+180.808882754,1661256148,0.003,0.003,0.003,0.005915493,0.008316327,0.003727273,0.003,0.075,0.003153846,0.014655172,0.003782918,0.003,0.003,0.003
2022-08-23 12:03:28.642614567 +0000 UTC m=+240.625050843,1661256208,0.005,0.003,0.003,0.010625,0.008333333,0.004741935,0.003,0.1,0.003,0.01483871,0.003925926,0.003,0.003029412,0.003
2022-08-23 12:04:28.454736155 +0000 UTC m=+300.437172430,1661256268,0.003,0.003333333,0.003,0.008148148,0.00875,0.004095238,0.003,0.175,0.003,0.01675,0.004264368,0.003,0.003210526,0.003
2022-08-23 12:05:28.544721735 +0000 UTC m=+360.527158010,1661256328,0.003,0.0046,0.003,0.027830189,0.008642857,0.005555556,0.0034,0.075,0.003,0.015921053,0.004291139,0.003,0.003,0.003
2022-08-23 12:06:28.538497888 +0000 UTC m=+420.520934163,1661256388,0.0034,0.075,0.003,0.04077381,0.016875,0.004818182,0.003,0.25,0.003,0.013409091,0.005194805,0.003,0.003,0.003
2022-08-23 12:07:28.421308732 +0000 UTC m=+480.403745007,1661256448,0.003166667,0.0175,0.003,0.005833333,0.007712766,0.003285714,0.003,0.25,0.003,0.013355263,0.003207612,0.003,0.003052174,0.003
2022-08-23 12:08:28.534659916 +0000 UTC m=+540.517096192,1661256508,0.003,0.033333333,0.003,0.0065625,0.00775,0.003275,0.003,0.25,0.003,0.010535714,0.003114082,0.003,0.003071429,0.003
