time,timestamp,frontend_currencyservice,frontend_shippingservice,frontend_checkoutservice,frontend_adservice,checkoutservice_productcatalogservice,frontend_cartservice,checkoutservice_emailservice,frontend_productcatalogservice,checkoutservice_cartservice,recommendationservice_productcatalogservice,frontend_recommendationservice,checkoutservice_currencyservice,checkoutservice_shippingservice,checkoutservice_paymentservice
2022-08-22 03:51:19.978797393 +0000 UTC m=+0.484751374,1661140279,0.049074074,0.003,0.375,0.007734375,0.003153846,0.003084746,0.003,0.00322807,0.003,0.003519481,0.007650602,0.066666667,0.003,0.003
2022-08-22 03:52:19.931164169 +0000 UTC m=+60.437118149,1661140339,0.016,0.003,0.375,0.007916667,0.003,0.003016129,0.003,0.003153025,0.003222222,0.003329114,0.007724719,0.05,0.003,0.003
2022-08-22 03:53:19.950350245 +0000 UTC m=+120.456304225,1661140399,0.030357143,0.003,0.5,0.007923729,0.003,0.00301626,0.003,0.003109434,0.003,0.00327027,0.007787356,0.00875,0.003,0.003
2022-08-22 03:54:20.000562662 +0000 UTC m=+180.506516643,1661140460,0.017767857,0.003,0.175,0.012586207,0.01,0.003040404,0.003,0.007800926,,0.010865385,0.016590909,0.004,,0.003
2022-08-22 03:55:20.163455548 +0000 UTC m=+240.669409529,1661140520,0.005471698,0.002909091,0.15,0.01325,0.005833333,0.003048193,0.003,0.007580645,0.003,0.007647059,0.0128125,0.003117647,0.003,0.003
2022-08-22 03:56:20.128808397 +0000 UTC m=+300.634762389,1661140580,0.006416667,0.003,0.1,0.015921053,0.0175,0.003082192,0.003,0.007711443,0.003,0.0091,0.016585366,0.003666667,0.003,0.003
2022-08-22 03:57:20.073285486 +0000 UTC m=+360.579239465,1661140640,0.008513514,0.003375,0.1,0.012647059,0.0075,0.00325,0.003,0.008315508,0.003,0.010441176,0.016,0.003545455,0.003,0.003
2022-08-22 03:58:20.028763117 +0000 UTC m=+420.534717098,1661140700,0.023081395,0.003,0.175,0.017941176,0.00625,0.003266667,0.003,0.008726852,0.003,0.016,0.01875,0.0042,0.003,0.003
2022-08-22 03:59:20.344990221 +0000 UTC m=+480.850944201,1661140760,0.015480769,0.00375,0.375,0.014166667,0.006875,0.003285714,0.003,0.009035714,0.003,0.00875,0.021,0.175,0.003,0.003
2022-08-22 04:00:20.116368573 +0000 UTC m=+540.622322553,1661140820,0.004304348,0.003148148,0.25,0.014722222,0.0042,0.003046512,0.003,0.006081731,0.003,0.00775,0.013,0.0035,0.003,0.003
2022-08-22 04:01:20.406814939 +0000 UTC m=+600.912768920,1661140880,0.004601942,0.003074074,0.333333333,0.013488372,0.006,0.003015873,0.003,0.00546332,0.003,0.008714286,0.013920455,0.02125,0.003,0.003
2022-08-22 04:02:20.117182738 +0000 UTC m=+660.623136718,1661140940,0.004285106,0.003,0.5,0.009785714,0.004384615,0.003138614,0.003,0.005046012,0.003,0.0078125,0.011973684,0.075,0.003,0.003
2022-08-22 04:03:19.974473524 +0000 UTC m=+720.480427505,1661140999,0.004503876,0.003,0.175,0.0085,,0.003045455,,0.005493421,0.003,0.008928571,0.01125,0.05,0.003,0.003
2022-08-22 04:04:20.045518487 +0000 UTC m=+780.551472467,1661141060,0.004819277,0.003,0.175,0.009444444,0.003666667,0.003121212,0.003,0.004506494,0.003222222,0.004777778,0.011323529,0.003571429,0.003,0.003
2022-08-22 04:05:20.204473112 +0000 UTC m=+840.710427092,1661141120,0.006590909,0.003,0.25,0.008611111,0.003333333,0.003033898,0.003,0.004910112,0.003,0.006166667,0.010441176,0.033333333,0.003,0.003
2022-08-22 04:06:19.934907771 +0000 UTC m=+900.440861751,1661141179,0.005375,0.003,0.333333333,0.012578125,0.004333333,0.003033898,0.003,0.00495,0.003,0.007121212,0.009947917,0.003875,0.003,0.003
2022-08-22 04:07:20.047080443 +0000 UTC m=+960.553034423,1661141240,0.004907834,0.0030625,0.2125,0.010227273,0.006388889,0.0031,0.003,0.004291457,0.003,0.006858974,0.009739583,0.005,0.003,
2022-08-22 04:08:20.104456229 +0000 UTC m=+1020.610410211,1661141300,0.004488987,0.003,0.333333333,0.013445946,0.0065,0.003019802,0.003,0.005396635,0.003,0.006973684,0.01,0.01,0.003,0.003
2022-08-22 04:09:20.166122572 +0000 UTC m=+1080.672076554,1661141360,0.004944134,0.003,0.175,0.012578125,0.007857143,0.003,0.003,0.005757261,0.003,0.008629032,0.0121875,0.05,0.003,0.003
2022-08-22 04:10:20.08242435 +0000 UTC m=+1140.588378332,1661141420,0.005390625,0.003,0.2125,0.014375,0.008125,0.003105263,0.003,0.005969388,0.003,0.008676471,0.015357143,0.0075,0.002846154,0.003
2022-08-22 04:11:20.369131995 +0000 UTC m=+1200.875085976,1661141480,0.004066667,0.003,0.1,0.013888889,0.0038,0.003021053,0.003,0.005732558,0.003,0.008243243,0.014852941,0.003545455,0.003,0.003
2022-08-22 04:12:20.20621261 +0000 UTC m=+1260.712166612,1661141540,0.0041,0.003090909,0.2,0.015390625,0.00625,0.003142857,0.003,0.006128641,0.003,0.007983871,0.0150625,0.003307692,0.003,0.003
2022-08-22 04:13:20.120264127 +0000 UTC m=+1320.626218107,1661141600,0.004556818,0.003,0.2125,0.014913793,0.0045,0.003142857,0.003,0.005929648,0.003,0.007583333,0.010857143,0.004333333,0.003,0.003
2022-08-22 04:14:20.077711093 +0000 UTC m=+1380.583665074,1661141660,0.004141463,0.003,0.175,0.012916667,0.003,0.003017857,0.003,0.00479661,0.003,0.005757576,0.011569767,0.004333333,0.003,0.003
2022-08-22 04:15:19.97784139 +0000 UTC m=+1440.483795370,1661141719,0.006111111,0.003,0.185714286,0.0125,0.01,0.003156522,0.003,0.005244141,0.003133333,0.007321429,0.01122093,0.004333333,0.003,0.003
2022-08-22 04:16:20.037329235 +0000 UTC m=+1500.543283223,1661141780,0.004678049,0.003,0.175,0.011136364,0.006388889,0.00301626,0.003,0.004749288,0.003285714,0.006369048,0.009490741,0.0034,0.003,0.003
2022-08-22 04:17:20.063089516 +0000 UTC m=+1560.569043505,1661141840,0.003927757,0.003,0.15,0.013846154,0.0035,0.00304918,0.003,0.006336996,0.003,0.0076875,0.01,0.003461538,0.003,0.003
2022-08-22 04:18:20.07267919 +0000 UTC m=+1620.578633169,1661141900,0.004170543,0.003,0.175,0.01046875,0.004333333,0.003,0.003,0.005068807,0.003,0.007621951,0.011534091,0.003666667,0.003,0.003
2022-08-22 04:19:20.018881853 +0000 UTC m=+1680.524835844,1661141960,0.006517857,0.003,0.2125,0.010725806,0.003571429,0.00304878,0.003,0.00496337,0.003,0.006911765,0.00915,0.028125,0.003,0.003
2022-08-22 04:20:19.96005417 +0000 UTC m=+1740.466008150,1661142019,0.004162996,0.003,0.2,0.013157895,0.0042,0.003114754,0.003,0.00581117,0.003,0.008557692,0.015406977,0.004076923,0.003,0.003
2022-08-22 04:21:20.19092586 +0000 UTC m=+1800.696879841,1661142080,0.003918699,0.003,0.3,0.015067568,0.004818182,0.003036036,0.003,0.005134298,0.003,0.006833333,0.011875,0.0175,0.003,0.003
2022-08-22 04:22:20.461567596 +0000 UTC m=+1860.967521577,1661142140,0.004467249,0.003064516,0.175,0.01735,0.00625,0.003047244,0.003,0.005871849,0.003,0.007767857,0.016136364,0.067857143,0.002333333,0.003
2022-08-22 04:23:20.07207577 +0000 UTC m=+1920.578029751,1661142200,0.007395833,0.002931034,0.333333333,0.014615385,0.00625,0.003091743,0.003,0.006628352,0.003133333,0.007865854,0.009409091,0.01,0.002866667,0.003
2022-08-22 04:24:20.076717376 +0000 UTC m=+1980.582671374,1661142260,0.004426087,0.003,0.225,0.0125,0.00625,0.003119658,0.003,0.004667575,0.003,0.006538462,0.013367347,0.05,0.002846154,0.003
2022-08-22 04:25:20.057866961 +0000 UTC m=+2040.563820941,1661142320,0.00427027,0.003,0.0875,0.013333333,0.0075,0.003034483,0.003,0.006028807,0.003,0.00775641,0.014090909,0.004666667,0.0026,0.003
2022-08-22 04:26:20.151545668 +0000 UTC m=+2100.657499650,1661142380,0.004621622,0.003086957,0.375,0.014756098,0.0055,0.003053097,0.003,0.0052125,0.003,0.007604167,0.01421875,0.0044,0.003,0.003
2022-08-22 04:27:19.914532176 +0000 UTC m=+2160.420486157,1661142439,0.0075,0.003,0.25,0.015806452,0.00625,0.003071429,0.003,0.006627907,0.003,0.008359375,0.013157895,0.005,0.002714286,0.004
2022-08-22 04:28:19.99851395 +0000 UTC m=+2220.504467942,1661142499,0.00433,0.003,0.75,0.01483871,0.005,0.003019048,0.003,0.005798319,0.003,0.008289474,0.011395349,0.004,0.003,0.003
2022-08-22 04:29:20.076957072 +0000 UTC m=+2280.582911052,1661142560,0.004134884,0.003,0.75,0.013515625,0.003,0.003059406,0.003,0.004964158,0.003,0.007580645,0.011538462,0.0042,0.003,0.003
2022-08-22 04:30:20.128726444 +0000 UTC m=+2340.634680425,1661142620,0.003577406,0.003,0.75,0.013541667,0.003857143,0.003037736,0.003,0.00577381,0.003222222,0.007960526,0.01315,0.003307692,0.003,0.003666667
2022-08-22 04:31:19.973215129 +0000 UTC m=+2400.479169111,1661142679,0.004372197,0.003071429,0.25,0.013970588,0.004333333,0.003,0.003,0.004880597,0.003,0.007763158,0.013214286,0.004,0.003,0.003
2022-08-22 04:32:20.067919172 +0000 UTC m=+2460.573873154,1661142740,0.004957895,0.003,0.25,0.00975,0.006875,0.003033613,0.003,0.005676856,0.003153846,0.007045455,0.013962264,0.005,0.003,0.003
2022-08-22 04:33:20.301454438 +0000 UTC m=+2520.807408445,1661142800,0.004259259,0.002909091,0.25,0.015,0.005625,0.003051724,0.003,0.004908213,0.003133333,0.007564103,0.010857143,0.0042,0.003,0.003
2022-08-22 04:34:20.13140285 +0000 UTC m=+2580.637356847,1661142860,0.004834101,0.003090909,0.175,0.01462766,0.00875,0.003074766,0.003,0.005645161,0.003,0.007214286,0.01,0.005,0.003,0.003
2022-08-22 04:35:19.997704188 +0000 UTC m=+2640.503658168,1661142919,0.004004219,0.003,0.175,0.013,0.005,0.00303125,0.003,0.004948127,0.003,0.007439024,0.01171875,0.01,0.003,0.003
2022-08-22 04:36:20.299440862 +0000 UTC m=+2700.805394850,1661142980,0.004461187,0.003,0.5,0.015131579,0.008333333,0.003592593,0.003,0.004415282,0.003666667,0.005714286,0.0125,0.01,0.003,0.003
2022-08-22 04:37:19.988643708 +0000 UTC m=+2760.494597689,1661143039,0.005086207,0.002923077,0.333333333,0.015227273,0.008,0.119067797,0.003,0.00582636,0.13,0.008189655,0.01325,0.0046,0.002714286,0.003
2022-08-22 04:38:20.060633157 +0000 UTC m=+2820.566587137,1661143100,0.004497674,0.003,0.375,0.015961538,0.0044,0.135714286,0.003,0.004843648,0.133333333,0.007844828,0.016358696,0.003555556,0.002846154,0.003
2022-08-22 04:39:20.102904552 +0000 UTC m=+2880.608858550,1661143160,0.005833333,0.002882353,0.6875,0.01609375,0.01,0.25304878,0.003,0.008515625,0.2125,0.01575,0.018571429,0.003923077,0.003,0.003
2022-08-22 04:40:20.17922315 +0000 UTC m=+2940.685177131,1661143220,0.004028807,0.003,0.2125,0.013355263,0.004090909,0.003062992,0.003,0.005141509,0.00325,0.008,0.012045455,0.004666667,0.003,0.003
2022-08-22 04:41:20.115419012 +0000 UTC m=+3000.621372993,1661143280,0.022,0.003,0.15,0.014375,0.0075,0.003037037,0.003,0.005066079,0.003,0.00725,0.013109756,0.0034,0.003,0.003
2022-08-22 04:42:20.335537424 +0000 UTC m=+3060.841491404,1661143340,0.004881657,0.003,0.175,0.010267857,0.005,0.003122449,0.003,0.005449029,0.003,0.007962963,0.013571429,0.04375,0.003,0.003
2022-08-22 04:43:20.131633732 +0000 UTC m=+3120.637587712,1661143400,0.004301887,0.003,0.15,0.011764706,0.0055,0.003104348,0.003,0.004571865,0.003181818,0.0075,0.010852273,0.003133333,0.003,0.003
2022-08-22 04:44:20.091255159 +0000 UTC m=+3180.597209150,1661143460,0.0042287,0.003076923,0.175,0.013,0.005,0.003037383,0.003,0.005658537,0.003,0.007702703,0.01546875,0.05,0.003,0.003
2022-08-22 04:45:20.092832778 +0000 UTC m=+3240.598786758,1661143520,0.004018018,0.002931034,,0.01703125,0.003666667,0.003060606,0.003,0.005652174,0.003,0.007606383,0.012093023,0.004,0.003,0.004
2022-08-22 04:46:20.169788184 +0000 UTC m=+3300.675742164,1661143580,0.006153846,0.003,2.125,0.016118421,0.0075,0.003059406,0.003,0.005725806,0.003,0.007569444,0.0155,0.006,0.003,0.003
2022-08-22 04:47:20.123506346 +0000 UTC m=+3360.629460357,1661143640,0.004822917,0.003,2.125,0.015178571,0.00625,0.003,0.003,0.004753086,0.003,0.006891892,0.00962766,0.005,0.003,0.003
2022-08-22 04:48:19.953639671 +0000 UTC m=+3420.459593651,1661143699,0.003984615,0.003,7.5,0.019044118,0.00875,0.003022989,0.003,0.004984314,0.003,0.007368421,0.01375,0.004,0.003,0.003
2022-08-22 04:49:20.354598363 +0000 UTC m=+3480.860552361,1661143760,0.004719101,0.002866667,6.25,0.015625,0.00725,0.003053097,0.003,0.006081081,0.003,0.008243243,0.01375,0.005,0.003,0.003
2022-08-22 04:50:20.09215146 +0000 UTC m=+3540.598105441,1661143820,0.00395283,0.003,0.2125,0.013648649,0.0042,0.003019802,0.003,0.005264977,0.003,0.007016129,0.013520408,0.05,0.0026,0.0075
2022-08-22 04:51:20.183067578 +0000 UTC m=+3600.689021558,1661143880,0.003877637,0.003,0.25,0.016768293,0.00425,0.00307767,0.003,0.005410959,0.003,0.007867647,0.010375,0.0032,0.003,0.003
2022-08-22 04:52:20.109935189 +0000 UTC m=+3660.615889169,1661143940,0.023695652,0.003,0.2,0.012027027,0.004714286,0.003016,0.003,0.005871212,0.0032,0.0085625,0.012553191,0.058333333,0.002846154,0.003
2022-08-22 04:53:20.192921711 +0000 UTC m=+3720.698875692,1661144000,0.004054688,0.003,0.19375,0.011714286,0.0175,0.003031496,0.003,0.005952381,0.003,0.009615385,0.016041667,0.004636364,0.003,0.003
2022-08-22 04:54:19.969608028 +0000 UTC m=+3780.475562009,1661144059,0.0045625,0.003,0.207142857,0.014423077,0.007708333,0.003016129,0.003,0.006904762,0.003,0.008648649,0.015878378,0.003941176,0.003,0.003
2022-08-22 04:55:20.309512795 +0000 UTC m=+3840.815466788,1661144120,0.004708738,0.003,0.2125,0.011153846,0.006,0.003093458,0.003,0.006276316,0.003,0.008706897,0.013238636,0.025,0.002866667,0.003
2022-08-22 04:56:20.356174931 +0000 UTC m=+3900.862128911,1661144180,0.004185185,0.003,0.175,0.015666667,0.007142857,0.003019608,0.003,0.005173469,0.003,0.007093023,0.011914894,0.004166667,0.003,0.003
2022-08-22 04:57:20.220025906 +0000 UTC m=+3960.725979887,1661144240,0.004372549,0.003060606,0.25,0.009736842,0.0038,0.003102041,0.003,0.004529412,0.003285714,0.007440476,0.014186047,0.005,0.003,0.003
2022-08-22 04:58:20.117075723 +0000 UTC m=+4020.623029704,1661144300,0.003877637,0.003,0.2125,0.01462766,0.0075,0.003036364,0.003,0.006231707,0.003,0.008240741,0.012386364,0.003923077,0.002777778,0.003
2022-08-22 04:59:20.063563247 +0000 UTC m=+4080.569517235,1661144360,0.004247788,0.003,0.375,0.0120625,0.0075,0.003054545,0.003,0.004440514,0.003,0.006397059,0.009,0.003,0.003,0.003
2022-08-22 05:00:20.246686767 +0000 UTC m=+4140.752640747,1661144420,0.004757576,0.003066667,0.175,0.012926829,0.003666667,0.003032,0.003,0.005235602,0.003,0.0075,0.013837209,0.01375,0.003,0.003
2022-08-22 05:01:20.403829156 +0000 UTC m=+4200.909783163,1661144480,0.00420339,0.002913043,0.19375,0.012727273,0.005833333,0.003016529,0.003,0.004559633,0.0034,0.006214286,0.009528302,0.0035,0.003,0.003
2022-08-22 05:02:20.18410755 +0000 UTC m=+4260.690061555,1661144540,0.0154,0.003,0.3125,0.01525,0.005,0.003045455,,0.006028226,0.003,0.008108108,0.014602273,0.030357143,0.003,
2022-08-22 05:03:19.978646945 +0000 UTC m=+4320.484600925,1661144599,0.058064516,0.003,0.583333333,0.011071429,0.008194444,0.003019608,,0.005993976,0.003,0.007666667,0.011125,0.061111111,0.003,
2022-08-22 05:04:20.072124581 +0000 UTC m=+4380.578078562,1661144660,0.045833333,0.002913043,0.75,0.014928571,0.0075,0.003019048,,0.006722222,0.003,0.008522727,0.01296875,0.067307692,0.0034,
2022-08-22 05:05:20.082200336 +0000 UTC m=+4440.588154316,1661144720,0.060433071,0.003083333,0.25,0.01375,0.006071429,0.00310101,0.003,0.005895833,0.003,0.008,0.013579545,0.064583333,0.003,0.003
2022-08-22 05:06:20.10220895 +0000 UTC m=+4500.608162930,1661144780,0.004688073,0.003,0.1,0.014791667,0.00375,0.003016807,0.003,0.005593607,0.003,0.008055556,0.010394737,0.057142857,0.003,0.003
2022-08-22 05:07:20.251686851 +0000 UTC m=+4560.757640831,1661144840,0.004286344,0.003,0.19375,0.015,0.005,0.003,0.003,0.005486111,0.003,0.007317073,0.012333333,0.004636364,0.003,0.003
2022-08-22 05:08:20.499194914 +0000 UTC m=+4621.005148895,1661144900,0.004066667,0.003,0.1375,0.015178571,0.005,0.00307619,0.003,0.005086634,0.003,0.006959459,0.009787234,0.003571429,0.003,0.003
2022-08-22 05:09:20.200884744 +0000 UTC m=+4680.706838724,1661144960,0.003883721,0.003,0.25,0.013292683,0.008125,0.003070796,0.003,0.005154762,0.003,0.007121212,0.01109375,0.003923077,0.003,0.003
2022-08-22 05:10:20.043399627 +0000 UTC m=+4740.549353625,1661145020,0.004300448,0.003,0.25,0.015769231,0.004333333,0.003016949,,0.00490411,0.003,0.006785714,0.009940476,0.003428571,0.003,0.003
2022-08-22 05:11:20.04755113 +0000 UTC m=+4800.553505110,1661145080,0.004512821,0.003,0.2125,0.015625,0.00625,0.003018349,,0.004966216,0.003,0.007317073,0.011829268,0.004636364,0.003,0.003
2022-08-22 05:12:20.202194189 +0000 UTC m=+4860.708148169,1661145140,0.01421875,0.003068966,0.583333333,0.011209677,0.0046,0.003053097,,0.005594059,0.003,0.006964286,0.010661765,0.028125,0.003,0.003
2022-08-22 05:13:20.02499687 +0000 UTC m=+4920.530950874,1661145200,0.05,0.003,0.4375,0.012844828,0.004789474,0.003019802,0.003,0.005201005,0.003,0.007575758,0.013392857,0.0044,0.003,0.003
2022-08-22 05:14:19.966456673 +0000 UTC m=+4980.472410653,1661145259,0.00431405,0.002945946,0.1,0.013214286,0.0034,0.003071429,0.003,0.004908497,0.003,0.007321429,0.012894737,0.005,0.003,0.003
2022-08-22 05:15:20.17885105 +0000 UTC m=+5040.684805031,1661145320,0.004564444,0.003,0.2125,0.014928571,0.005,0.003016949,0.003,0.005865019,0.003,0.007621951,0.011346154,0.0525,0.003,0.003
2022-08-22 05:16:20.223308044 +0000 UTC m=+5100.729262025,1661145380,0.005460526,0.003,0.25,0.013076923,0.00875,0.003017094,0.003,0.004709779,0.003,0.006458333,0.010365854,0.004,0.003,0.003
2022-08-22 05:17:20.104518146 +0000 UTC m=+5160.610472136,1661145440,0.004977528,0.003,0.19,0.015067568,0.0065,0.003,0.003,0.005033186,0.003,0.006891892,0.010416667,0.0044,0.003,0.003
2022-08-22 05:18:20.084640883 +0000 UTC m=+5220.590594864,1661145500,0.005925926,0.003,0.175,0.012844828,0.005416667,0.003032787,0.003,0.006014344,0.003,0.007857143,0.011755319,0.005,0.003,0.003
2022-08-22 05:19:20.137753708 +0000 UTC m=+5280.643707689,1661145560,3.913043478,0.003,,0.0146875,0.00625,0.00325,0.003,0.006681818,0.003,0.01375,0.016666667,3.75,0.003,0.003
2022-08-22 05:20:20.226827963 +0000 UTC m=+5340.732781944,1661145620,3.18452381,0.003,,0.011875,0.005,0.003,,0.005887097,0.003,0.008333333,0.0175,1.75,,0.003
2022-08-22 05:21:20.241404181 +0000 UTC m=+5400.747358161,1661145680,3.345070423,0.003,,0.015454545,0.005,0.003,,0.008590909,0.003,0.01,0.012142857,3.75,,0.003
2022-08-22 05:22:20.07783901 +0000 UTC m=+5460.583792992,1661145740,0.184574468,0.003,0.916666667,0.011875,0.006818182,0.003196078,0.003,0.004976563,0.003,0.0076875,0.013857143,0.000444444,0.003,0.003
2022-08-22 05:23:20.157851434 +0000 UTC m=+5520.663805414,1661145800,0.041369048,0.003,0.5625,0.014390244,0.004142857,0.003016949,0.003,0.0053125,0.003,0.007621951,0.013289474,0.061111111,0.003,0.003
2022-08-22 05:24:19.977347789 +0000 UTC m=+5580.483301788,1661145859,0.041517857,0.003105263,0.25,0.009871795,0.00425,0.003039216,0.003,0.00631068,0.003,0.0093,0.016802326,0.060714286,0.003,0.003
2022-08-22 05:25:20.136714433 +0000 UTC m=+5640.642668414,1661145920,0.006309524,0.003,0.25,0.0155,0.00475,0.003,0.003,0.004741538,0.003,0.006875,0.012678571,0.004684211,0.003,0.003285714
2022-08-22 05:26:20.167390612 +0000 UTC m=+5700.673344612,1661145980,0.004300493,0.003,0.175,0.014137931,0.0075,0.003102564,0.003,0.005915354,0.003,0.008353659,0.012884615,0.003666667,0.003,0.003
2022-08-22 05:27:20.190500247 +0000 UTC m=+5760.696454227,1661146040,0.004253333,0.003086957,0.19,0.0165625,0.0045,0.003098039,0.003,0.006463415,0.003,0.008125,0.015048077,0.0044,0.003,0.003
2022-08-22 05:28:20.183000995 +0000 UTC m=+5820.688954976,1661146100,0.003224719,0.003,2.125,0.0125,0.005,0.003092308,0.003,0.004443902,0.003,0.007019231,0.009596774,0.003666667,0.003,0.003
2022-08-22 05:29:20.320780438 +0000 UTC m=+5880.826734418,1661146160,0.003386139,0.003,1.75,0.012307692,0.00625,0.003059701,0.003,0.004488152,0.003,0.006916667,0.0103,0.004,0.003,0.003
2022-08-22 05:30:20.198236538 +0000 UTC m=+5940.704190518,1661146220,0.003331606,0.003,,0.0139,,0.003029412,,0.004598086,0.003,0.006176471,0.01125,0.0038,,0.003
2022-08-22 05:31:20.108520825 +0000 UTC m=+6000.614474806,1661146280,0.004381356,0.003066667,0.2,0.013333333,0.006875,0.003,0.003,0.006429856,0.003,0.00875,0.0157,0.003444444,0.003,0.003
2022-08-22 05:32:19.948005014 +0000 UTC m=+6060.453958995,1661146339,0.004176955,0.002939394,0.175,0.014534884,0.005416667,0.003076923,0.003,0.006193548,0.003,0.008536585,0.012830189,0.004285714,0.003,0.003
2022-08-22 05:33:20.358871721 +0000 UTC m=+6120.864825724,1661146400,0.004531707,0.003,0.2125,0.014821429,0.0075,0.003034783,0.003,0.005794492,0.003,0.008055556,0.01484375,0.00425,0.002,0.003
