time,timestamp,recommendationservice_productcatalogservice,checkoutservice_emailservice,frontend_productcatalogservice,checkoutservice_cartservice,frontend_currencyservice,frontend_checkoutservice,frontend_adservice,frontend_cartservice,frontend_recommendationservice,checkoutservice_paymentservice,frontend_shippingservice,checkoutservice_productcatalogservice,checkoutservice_currencyservice,checkoutservice_shippingservice
2022-08-22 03:51:20.021338403 +0000 UTC m=+0.527292383,1661140280,0.004666667,0.003,0.004104294,0.004428571,0.03362069,0.225,0.008219697,0.004975309,0.008026316,0.003,0.003333333,0.004333333,0.070833333,0.003
2022-08-22 03:52:19.949096011 +0000 UTC m=+60.455049992,1661140339,0.004180328,0.003,0.003928328,0.005,0.016785714,0.225,0.008461538,0.004813953,0.008066038,0.0034,0.003222222,0.00575,0.065625,0.003
2022-08-22 03:53:19.965484899 +0000 UTC m=+120.471438879,1661140399,0.003984615,0.003,0.003300885,0.006,0.034583333,0.5,0.00825,0.003987952,0.007916667,0.003,0.003,0.0045,0.055,0.003
2022-08-22 03:54:20.016922884 +0000 UTC m=+180.522876864,1661140460,0.013055556,0.003,0.009303097,0.0075,0.01675,,0.01527027,0.005848214,0.019767442,0.0075,0.003666667,0.01375,0.003,0.005
2022-08-22 03:55:20.185950154 +0000 UTC m=+240.691904142,1661140520,0.008670213,0.003,0.009176357,0.003666667,0.009738372,0.15,0.015390625,0.005486111,0.015735294,0.0034,0.004066667,0.008928571,0.0038,0.003
2022-08-22 03:56:20.144284154 +0000 UTC m=+300.650238134,1661140580,0.013870968,0.003,0.013716518,0.003666667,0.00940367,0.1,0.017083333,0.006607143,0.018076923,0.005,0.003666667,0.015,0.004,0.003
2022-08-22 03:57:20.09316589 +0000 UTC m=+360.599119869,1661140640,0.01125,0.003,0.011515152,0.006666667,0.012533784,0.1,0.015625,0.007,0.018486842,0.003666667,0.0046,0.005,0.004111111,0.003285714
2022-08-22 03:58:20.049490138 +0000 UTC m=+420.555444119,1661140700,0.011607143,0.003,0.011964286,0.006666667,0.022735849,0.175,0.018333333,0.007232143,0.0199,0.005,0.003285714,0.00875,0.003666667,0.003666667
2022-08-22 03:59:20.363698319 +0000 UTC m=+480.869652299,1661140760,0.01875,0.003,0.014191176,0.006666667,0.023636364,0.375,0.015625,0.00775,0.020909091,0.003,0.006071429,0.01,0.01,0.003666667
2022-08-22 04:00:20.133537741 +0000 UTC m=+540.639491721,1661140820,0.008888889,0.003,0.008378378,0.006,0.009935345,0.375,0.014411765,0.005817308,0.01359375,0.003,0.003842105,0.008125,0.004714286,0.003285714
2022-08-22 04:01:20.431268558 +0000 UTC m=+600.937222539,1661140880,0.009621212,0.003,0.008103448,0.00625,0.0145,0.333333333,0.015581395,0.005633803,0.016594828,0.007,0.0039,0.008125,0.04375,0.004
2022-08-22 04:02:20.134346622 +0000 UTC m=+660.640300605,1661140940,0.00875,0.003,0.007453008,0.006,0.008739496,0.5,0.011,0.005603448,0.015518868,0.005,0.00348,0.007291667,0.070454545,0.003
2022-08-22 04:03:19.988714995 +0000 UTC m=+720.494668975,1661140999,0.009,0.003,0.007447368,0.005,0.009155405,0.175,0.009166667,0.004642857,0.016176471,0.003,0.003823529,0.003,0.05,0.005
2022-08-22 04:04:20.071742563 +0000 UTC m=+780.577696564,1661141060,0.008625,0.0034,0.007874016,0.006666667,0.009427083,0.19,0.009722222,0.005394737,0.013913043,0.004,0.003909091,0.0075,0.0044,0.003181818
2022-08-22 04:05:20.230661364 +0000 UTC m=+840.736615363,1661141120,0.008125,0.003,0.007003817,0.003285714,0.008908046,0.25,0.01,0.005675676,0.013214286,0.003666667,0.00348,0.006388889,0.0675,0.003285714
2022-08-22 04:06:19.949381205 +0000 UTC m=+900.455335185,1661141179,0.008445946,0.003,0.007907801,0.004,0.00880531,0.333333333,0.014772727,0.004051282,0.015181818,0.004,0.0039,0.008,0.005,0.0034
2022-08-22 04:07:20.065327529 +0000 UTC m=+960.571281509,1661141240,0.007965116,0.003,0.006582569,0.005,0.008913043,0.175,0.012357143,0.004371429,0.014264706,0.00625,0.003583333,0.008,0.0175,0.0034
2022-08-22 04:08:20.122007479 +0000 UTC m=+1020.627961459,1661141300,0.007647059,0.003,0.006792929,0.0038,0.008252033,0.291666667,0.014071429,0.005357143,0.013,0.003666667,0.003761905,0.006944444,0.05,0.003666667
2022-08-22 04:09:20.183095128 +0000 UTC m=+1080.689049120,1661141360,0.009125,0.003,0.007918455,0.01,0.009228723,0.175,0.014166667,0.004964286,0.0145,0.0075,0.00375,0.0075,0.003,0.005
2022-08-22 04:10:20.097600164 +0000 UTC m=+1140.603554144,1661141420,0.0105,0.0038,0.008895131,0.004111111,0.009027778,0.2125,0.015576923,0.004306667,0.018405172,0.0038,0.003769231,0.015,0.02125,0.003545455
2022-08-22 04:11:20.389507846 +0000 UTC m=+1200.895461826,1661141480,0.009256757,0.003,0.009309955,0.005,0.007867647,0.1375,0.0146875,0.006289063,0.016885246,0.005,0.004142857,0.0075,0.005,0.005
2022-08-22 04:12:20.222357306 +0000 UTC m=+1260.728311287,1661141540,0.009741379,0.003,0.008230932,0.005,0.007427007,0.2,0.015806452,0.005833333,0.0169,0.003,0.004,0.009375,0.0035,0.003
2022-08-22 04:13:20.135917204 +0000 UTC m=+1320.641871193,1661141600,0.008194444,0.003,0.008245798,0.005,0.008669355,0.25,0.015322581,0.006,0.013837209,0.003,0.00326087,0.005416667,0.004111111,0.003
2022-08-22 04:14:20.143573435 +0000 UTC m=+1380.649527416,1661141660,0.008716216,0.003,0.007693878,0.003666667,0.007631579,0.175,0.013851351,0.005458333,0.015,0.003,0.003857143,0.0175,0.004333333,0.003
2022-08-22 04:15:19.994929327 +0000 UTC m=+1440.500883308,1661141719,0.008851351,0.003,0.007987013,0.007083333,0.009258242,0.185714286,0.013636364,0.005394737,0.016077586,0.005,0.0038,0.015833333,0.004538462,0.003285714
2022-08-22 04:16:20.052512111 +0000 UTC m=+1500.558466106,1661141780,0.007445652,0.003,0.006466942,0.004555556,0.008451327,0.175,0.012837838,0.005474138,0.012393617,0.003666667,0.004333333,0.007857143,0.003933333,0.003461538
2022-08-22 04:17:20.079172599 +0000 UTC m=+1560.585126589,1661141840,0.008235294,0.003,0.007813765,0.0042,0.006985816,0.15625,0.014714286,0.004777778,0.014078947,0.003666667,0.00347619,0.0175,0.005,0.003666667
2022-08-22 04:18:20.092932246 +0000 UTC m=+1620.598886227,1661141900,0.008269231,0.003,0.007422179,0.0075,0.007237903,0.175,0.01,0.005634921,0.014636364,0.003,0.003296296,0.006875,0.0175,0.003
2022-08-22 04:19:20.036681249 +0000 UTC m=+1680.542635229,1661141960,0.007704082,0.004,0.007279693,0.005,0.009887387,0.25,0.011818182,0.005286885,0.013989362,0.004,0.0041,0.008636364,0.008333333,0.0034
2022-08-22 04:20:19.974766465 +0000 UTC m=+1740.480720444,1661142019,0.011590909,0.003,0.007960784,0.005625,0.007231405,0.15625,0.015,0.004342105,0.01734375,0.003666667,0.003363636,0.006666667,0.003857143,0.003
2022-08-22 04:21:20.211695392 +0000 UTC m=+1800.717649372,1661142080,0.009,0.003,0.007478903,0.003333333,0.007198276,0.3125,0.015073529,0.003911392,0.014342105,0.003,0.004222222,0.0065,0.0075,0.003
2022-08-22 04:22:20.48261303 +0000 UTC m=+1860.988567011,1661142140,0.012647059,0.003,0.008971119,0.005,0.008235294,0.2,0.017783019,0.006522989,0.01585,0.003,0.004444444,0.0175,0.003,0.003
2022-08-22 04:23:20.088021522 +0000 UTC m=+1920.593975519,1661142200,0.007727273,0.003285714,0.007191011,0.005,0.009022727,0.4375,0.01525,0.005436508,0.011836735,0.0042,0.00356,0.0075,0.007,0.003666667
2022-08-22 04:24:20.097440692 +0000 UTC m=+1980.603394671,1661142260,0.008382353,0.003,0.007171815,0.004111111,0.008,0.2125,0.0125,0.005625,0.01465,0.003,0.004052632,0.007045455,0.004733333,0.003333333
2022-08-22 04:25:20.076536781 +0000 UTC m=+2040.582490779,1661142320,0.009393939,0.003,0.008511236,0.004,0.00777972,0.1,0.014459459,0.004168831,0.016470588,0.003,0.003538462,0.01375,0.008333333,0.0034
2022-08-22 04:26:20.168497251 +0000 UTC m=+2100.674451245,1661142380,0.008722222,0.0035,0.008276596,0.006428571,0.008178295,0.333333333,0.015454545,0.00468254,0.016,0.005833333,0.003714286,0.0096875,0.004636364,0.003857143
2022-08-22 04:27:19.934250328 +0000 UTC m=+2160.440204319,1661142439,0.009487179,0.003,0.008642241,0.005,0.009222222,0.225,0.015892857,0.006468254,0.0165625,0.003666667,0.0034,0.0075,0.01,0.003666667
2022-08-22 04:28:20.015487724 +0000 UTC m=+2220.521441712,1661142500,0.008953488,0.003,0.007836538,0.2125,0.007655039,0.75,0.015322581,0.238157895,0.015625,0.004,0.0039,0.008,0.0046,0.0034
2022-08-22 04:29:20.101780421 +0000 UTC m=+2280.607734412,1661142560,0.009117647,0.004,0.008190476,0.175,0.007740385,0.75,0.014411765,0.215217391,0.01578125,0.003,0.00347619,0.0075,0.0042,0.003
2022-08-22 04:30:20.145296502 +0000 UTC m=+2340.651250483,1661142620,0.008413462,0.003,0.007481273,0.25,0.006623377,0.75,0.013541667,0.256944444,0.015532787,0.004333333,0.003555556,0.0075,0.004,0.003222222
2022-08-22 04:31:19.993493776 +0000 UTC m=+2400.499447767,1661142679,0.009512195,0.003,0.007852564,0.005,0.007779851,0.2,0.0145,0.0053125,0.016447368,0.003,0.003518519,0.009166667,0.00625,0.003666667
2022-08-22 04:32:20.087880267 +0000 UTC m=+2460.593834265,1661142740,0.009285714,0.003,0.007860082,0.006363636,0.015543478,0.23125,0.010775862,0.005043103,0.015301724,0.003666667,0.003434783,0.00890625,0.005833333,0.003461538
2022-08-22 04:33:20.317239827 +0000 UTC m=+2520.823193808,1661142800,0.008536585,0.003285714,0.007598214,0.0053125,0.008241525,0.23125,0.0154375,0.004126761,0.015377358,0.0042,0.003315789,0.01,0.005625,0.003133333
2022-08-22 04:34:20.1447062 +0000 UTC m=+2580.650660181,1661142860,0.007564103,0.003,0.007106599,0.005,0.0084,0.225,0.015204082,0.003790698,0.012608696,0.005,0.0036,0.015,0.0042,0.003666667
2022-08-22 04:35:20.01227219 +0000 UTC m=+2640.518226194,1661142920,0.00835,0.003,0.007129032,0.005,0.006381579,0.19375,0.01328125,0.0049375,0.014303279,0.005,0.003916667,0.0075,0.04375,0.005
2022-08-22 04:36:20.322002205 +0000 UTC m=+2700.827956185,1661142980,0.009659091,0.003,0.008502252,0.0075,0.008382353,0.25,0.014934211,0.006311475,0.015284091,0.003,0.004058824,0.009166667,0.065,0.003
2022-08-22 04:37:20.010175153 +0000 UTC m=+2760.516129133,1661143040,0.009375,0.003,0.008364583,0.115,0.008928571,0.333333333,0.016363636,0.110096154,0.018597561,0.003,0.004714286,0.009,0.00625,0.004333333
2022-08-22 04:38:20.075622308 +0000 UTC m=+2820.581576300,1661143100,0.010267857,0.003,0.008002793,0.145,0.009,0.375,0.016315789,0.142391304,0.0185,0.003333333,0.00372,0.0053125,0.0034,0.004111111
2022-08-22 04:39:20.124693985 +0000 UTC m=+2880.630647966,1661143160,0.016363636,0.003,0.013364486,0.23125,0.009012097,0.7,0.017285714,0.28125,0.022364865,0.003666667,0.004428571,0.01375,0.01,0.003666667
2022-08-22 04:40:20.195565802 +0000 UTC m=+2940.701519782,1661143220,0.009615385,0.003,0.00793578,0.006785714,0.006944444,0.185714286,0.014230769,0.005507246,0.015778689,0.004,0.00330303,0.00825,0.008333333,0.0034
2022-08-22 04:41:20.129248869 +0000 UTC m=+3000.635202851,1661143280,0.0088125,0.003,0.0076417,0.00675,0.021111111,0.15,0.016283784,0.00625,0.015510204,0.0034,0.003421053,0.01,0.004272727,0.003363636
2022-08-22 04:42:20.352604725 +0000 UTC m=+3060.858558705,1661143340,0.009393939,0.003,0.007591093,0.005,0.008444444,0.175,0.01225,0.004313433,0.016,0.003,0.004333333,0.01,0.0375,0.003
2022-08-22 04:43:20.146768301 +0000 UTC m=+3120.652722281,1661143400,0.008014706,0.003,0.007020548,0.005714286,0.007845745,0.1,0.012785714,0.004162162,0.013545455,0.0034,0.0034,0.0084375,0.0048,0.004428571
2022-08-22 04:44:20.106727262 +0000 UTC m=+3180.612681242,1661143460,0.009791667,0.003,0.008373894,0.006428571,0.00745098,0.225,0.01375,0.0055,0.016964286,0.0035,0.0036,0.00875,0.0075,0.003857143
2022-08-22 04:45:20.107186343 +0000 UTC m=+3240.613140340,1661143520,0.008444444,0.005,0.007941176,0.007,0.007650862,2.125,0.017734375,0.005545455,0.014591837,0.006666667,0.00425,0.0075,0.0075,0.003285714
2022-08-22 04:46:20.189864956 +0000 UTC m=+3300.695818936,1661143580,0.009926471,0.004,0.0087749,0.006071429,0.0115,2.2,0.016283784,0.004630769,0.01615,0.004,0.003952381,0.011875,0.005833333,0.004666667
2022-08-22 04:47:20.140509091 +0000 UTC m=+3360.646463077,1661143640,0.008109756,0.004,0.007597173,0.004,0.00822,2.125,0.015357143,0.004283582,0.014386792,0.0075,0.0042,0.008125,0.0145,0.0075
2022-08-22 04:48:19.970814612 +0000 UTC m=+3420.476768593,1661143699,0.009551282,0.003,0.008536036,0.0065,0.008377863,8.333333333,0.019375,0.006764706,0.017236842,0.0035,0.004857143,0.009,0.005833333,0.003285714
2022-08-22 04:49:20.374872003 +0000 UTC m=+3480.880825991,1661143760,0.008928571,0.0075,0.008212851,0.007,0.008696809,,0.015833333,0.005714286,0.0165,0.00625,0.003454545,0.008888889,0.0095,0.005
2022-08-22 04:50:20.109168276 +0000 UTC m=+3540.615122371,1661143820,0.009605263,0.003,0.008803419,0.0034,0.007621951,0.175,0.014191176,0.005159574,0.015454545,0.003,0.003461538,0.0075,0.054166667,0.0034
2022-08-22 04:51:20.203177801 +0000 UTC m=+3600.709131782,1661143880,0.007954545,0.003,0.007920082,0.005357143,0.007346491,0.175,0.0175,0.004961538,0.014305556,0.0034,0.00375,0.0065,0.004636364,0.003
2022-08-22 04:52:20.128673599 +0000 UTC m=+3660.634627580,1661143940,0.008673469,0.003285714,0.007618297,0.003909091,0.029761905,0.2125,0.012625,0.003880952,0.015859375,0.003,0.0038,0.008214286,0.045833333,0.003909091
2022-08-22 04:53:20.212775394 +0000 UTC m=+3720.718729375,1661144000,0.012109375,0.003,0.008326531,0.006875,0.0069,0.333333333,0.0125,0.005079365,0.017884615,0.004333333,0.003888889,0.01,0.004333333,0.0035
2022-08-22 04:54:19.985158039 +0000 UTC m=+3780.491112019,1661144059,0.011875,0.003,0.008815789,0.00625,0.007571839,0.5,0.015192308,0.005966667,0.018166667,0.003857143,0.004444444,0.011875,0.003869565,0.003352941
2022-08-22 04:55:20.329450774 +0000 UTC m=+3840.835404755,1661144120,0.009338235,0.0042,0.008074163,0.005277778,0.009052632,0.5625,0.0118,0.00459322,0.015735294,0.003666667,0.003521739,0.008125,0.025,0.003285714
2022-08-22 04:56:20.374232509 +0000 UTC m=+3900.880186490,1661144180,0.00875,0.0035,0.007713115,0.004333333,0.007079208,0.46875,0.016847826,0.00459375,0.01547619,0.004333333,0.0035,0.007777778,0.003727273,0.003857143
2022-08-22 04:57:20.241121811 +0000 UTC m=+3960.747075791,1661144240,0.009268293,0.003,0.007113821,0.006,0.007553191,0.291666667,0.01,0.00529661,0.016176471,0.005,0.003695652,0.008333333,0.004272727,0.003
2022-08-22 04:58:20.134314252 +0000 UTC m=+4020.640268232,1661144300,0.008787879,0.003,0.007795455,0.006428571,0.006989051,0.175,0.014833333,0.005526316,0.014909091,0.005833333,0.004,0.013,0.00475,0.0035
2022-08-22 04:59:20.08415415 +0000 UTC m=+4080.590108148,1661144360,0.007613636,0.003,0.006020179,0.003,0.006339286,0.2125,0.013662791,0.00391358,0.011646341,0.003,0.003,0.0075,0.06875,0.005
2022-08-22 05:00:20.266401666 +0000 UTC m=+4140.772355652,1661144420,0.008902439,0.003,0.007794643,0.005,0.00943299,0.175,0.01375,0.005265957,0.015882353,0.005,0.003818182,0.008333333,0.005,0.003
2022-08-22 05:01:20.42652619 +0000 UTC m=+4200.932480199,1661144480,0.00755814,0.003,0.007190722,0.007,0.007759259,0.2,0.014459459,0.005795455,0.013529412,0.003,0.004,0.008125,0.004090909,0.005
2022-08-22 05:02:20.201301442 +0000 UTC m=+4260.707255454,1661144540,0.009338235,,0.008699664,0.0046,0.023636364,0.3125,0.015487805,0.006438356,0.017627119,,0.00375,0.009464286,0.025,0.0046
2022-08-22 05:03:20.033033322 +0000 UTC m=+4320.538987303,1661144600,0.008372093,,0.00801306,0.005833333,0.05625,0.666666667,0.012291667,0.00457377,0.01465,,0.003941176,0.0115,0.061538462,0.004333333
2022-08-22 05:04:20.089327771 +0000 UTC m=+4380.595281751,1661144660,0.009485294,,0.008846154,0.004,0.023125,0.75,0.015357143,0.004833333,0.015318182,,0.004,0.011764706,0.072,0.004
2022-08-22 05:05:20.098253138 +0000 UTC m=+4440.604207118,1661144720,0.008546512,0.003,0.008029046,0.0038,0.068162393,0.25,0.0146875,0.004789474,0.015480769,0.003,0.003947368,0.009166667,0.061363636,0.003666667
2022-08-22 05:06:20.116183317 +0000 UTC m=+4500.622137297,1661144780,0.008333333,0.003,0.007760791,0.005,0.00765625,0.175,0.015357143,0.00630137,0.014722222,0.003,0.003888889,0.0071875,0.00475,0.003
2022-08-22 05:07:20.266505703 +0000 UTC m=+4560.772459683,1661144840,0.008684211,0.0035,0.0075,0.0065625,0.007537594,0.19,0.015,0.00504386,0.014553571,0.004,0.003571429,0.00875,0.004636364,0.004142857
2022-08-22 05:08:20.51590376 +0000 UTC m=+4621.021857741,1661144900,0.008103448,0.003,0.007459936,0.005,0.007737069,0.1375,0.015304878,0.004072464,0.013545455,0.003666667,0.003823529,0.008333333,0.0042,0.005
2022-08-22 05:09:20.217223993 +0000 UTC m=+4680.723177991,1661144960,0.009085366,0.003666667,0.007663755,0.004555556,0.007924528,0.25,0.013841463,0.004641791,0.013815789,0.005,0.003454545,0.0125,0.05,0.003666667
2022-08-22 05:10:20.061181126 +0000 UTC m=+4740.567135117,1661145020,0.008109756,,0.007766393,0.006666667,0.008183761,0.2125,0.016513158,0.006161972,0.013214286,0.005,0.00375,0.006,0.01,0.005
2022-08-22 05:11:20.066849157 +0000 UTC m=+4800.572803178,1661145080,0.008333333,,0.007256447,0.006875,0.007884615,0.25,0.015833333,0.00594697,0.016696429,0.004333333,0.003736842,0.007884615,0.005,0.004333333
