Time,TimeStamp,ServiceName,SuccessRate(%),LatencyP50(s),LatencyP90(s),LatencyP95(s),LatencyP99(s)
2023-01-29 08:41:09.043078357 +0000 UTC m=+0.119240217,1674981669,Frontend,0,0.09285714285714286,0.48749999999999993,0.7249999999999994,0.9450000000000002
2023-01-29 08:42:09.018658981 +0000 UTC m=+60.094820869,1674981729,Frontend,0,0.05,0.1,0.5,0.8999999999999994
2023-01-29 08:43:09.04679005 +0000 UTC m=+120.122951914,1674981789,Frontend,0,0.08125000000000003,0.44500000000000023,0.6124999999999999,0.9225000000000003
2023-01-29 08:44:09.018406117 +0000 UTC m=+180.094567978,1674981849,Frontend,0,0.12249999999999998,0.4437499999999999,0.6374999999999998,0.9274999999999997
2023-01-29 08:45:09.040155426 +0000 UTC m=+240.116317288,1674981909,Frontend,0,0.1375,0.3625000000000001,0.4937499999999999,0.8949999999999999
2023-01-29 08:46:09.023748517 +0000 UTC m=+300.099910377,1674981969,Frontend,0,0.16,0.5500000000000004,0.8999999999999994,2.080000000000001
2023-01-29 08:47:09.033340309 +0000 UTC m=+360.109502175,1674982029,Frontend,0,0.05,0.225,0.25,0.4499999999999997
2023-01-29 08:48:09.004158061 +0000 UTC m=+420.080319922,1674982089,Frontend,0,0.075,0.3499999999999998,0.599999999999999,0.9200000000000005
2023-01-29 08:49:09.037957464 +0000 UTC m=+480.114119331,1674982149,Frontend,0,0.10625,0.24125000000000002,0.3312499999999998,0.46625
2023-01-29 08:50:09.05131992 +0000 UTC m=+540.127481780,1674982209,Frontend,0,0.08928571428571427,0.40499999999999986,0.47749999999999976,0.8549999999999989
2023-01-29 08:51:09.042808688 +0000 UTC m=+600.118970557,1674982269,Frontend,0,0.1,0.4833333333333333,0.7249999999999994,0.9450000000000002
2023-01-29 08:52:09.061009904 +0000 UTC m=+660.137171769,1674982329,Frontend,0,0.15999999999999998,0.6333333333333332,0.8166666666666663,0.9633333333333335
2023-01-29 08:53:09.02939073 +0000 UTC m=+720.105552597,1674982389,Frontend,0,0.175,0.7166666666666668,0.8583333333333333,0.9716666666666666
2023-01-29 08:54:09.062141881 +0000 UTC m=+780.138303743,1674982449,Frontend,0,0.1375,0.4208333333333334,0.48125,0.8549999999999993
2023-01-29 08:55:09.045461981 +0000 UTC m=+840.121623841,1674982509,Frontend,0,0.1,0.47,0.599999999999999,0.9200000000000005
2023-01-29 08:56:09.055353653 +0000 UTC m=+900.131515514,1674982569,Frontend,0,0.08750000000000001,0.4375,0.48958333333333326,2.1250000000000013
2023-01-29 08:57:09.054145493 +0000 UTC m=+960.130307361,1674982629,Frontend,0,0.09166666666666667,0.3583333333333335,0.47083333333333327,0.8649999999999998
2023-01-29 08:58:09.055694512 +0000 UTC m=+1020.131856372,1674982689,Frontend,0,0.08749999999999998,0.4375,0.5,0.8999999999999994
2023-01-29 08:59:09.058733078 +0000 UTC m=+1080.134894954,1674982749,Frontend,0,0.09642857142857143,0.45625,0.5750000000000001,0.9149999999999994
